No.,Material Code,Material Description,Design Speed,Actual Speed (m/p),Actual Speed (m/s),Output (km/shift),Output (kg/shift),Factory,Machine Type
109,52000115,Cm 1.35,420,420,7.00,151.20,1926.19,Tân Á,LHT-1
110,52000055,Cc 1.35,420,372,6.20,133.92,1706.05,Tân Á,LHT-1
111,52000061,Cc 1.70,360,372,6.20,133.92,2705.35,Tân Á,LHT-1
112,52000139,Cm 2.60,1200,600,10.00,261.00,12332.98,Long Thành,KÉO ĐẠI SỐ 1
113,52000010,Cc 3.05,600,500,8.33,207.51,13229.21,Long Thành,KÉO ĐẠI SỐ 1
114,52000115,Cm 1.35,1560,600,10.00,252.00,3162.94,Long Thành,KÉO ĐẠI SỐ 2
115,52000055,Cc 1.35,1560,550,9.17,231.00,2986.56,Long Thành,KÉO ĐẠI SỐ 2
116,52000117,Cm 1.40,1560,600,10.00,252.00,3432.83,Long Thành,KÉO ĐẠI SỐ 2
117,52000057,Cc 1.40,1560,550,9.17,231.00,3146.76,Long Thành,KÉO ĐẠI SỐ 2
118,52000121,Cm 1.70,1560,600,10.00,252.00,5090.72,Long Thành,KÉO ĐẠI SỐ 2
119,52000061,Cc 1.70,1560,500,8.33,210.00,4217.35,Long Thành,KÉO ĐẠI SỐ 2
120,52000123,Cm 1.78,1560,600,10.00,252.00,5581.12,Long Thành,KÉO ĐẠI SỐ 2
121,52000124,Cm 1.80 TG,1560,660,11.00,277.20,6277.97,Long Thành,KÉO ĐẠI SỐ 2
122,52000125,Cm 1.85,1560,600,10.00,252.00,5963.72,Long Thành,KÉO ĐẠI SỐ 2
123,52000127,Cm 2.03,1140,550,9.17,231.00,6654.03,Long Thành,KÉO ĐẠI SỐ 2
124,52000128,Cm 2.10,1140,550,9.17,231.00,7120.84,Long Thành,KÉO ĐẠI SỐ 2
125,52000129,Cm 2.14,1140,550,9.17,231.00,7394.70,Long Thành,KÉO ĐẠI SỐ 2
126,52000070,Cc 2.14,1140,500,8.33,210.00,6722.45,Long Thành,KÉO ĐẠI SỐ 2
127,52000130,Cm 2.22,1140,550,9.17,231.00,7957.91,Long Thành,KÉO ĐẠI SỐ 2
128,52000134,Cm 2.33,1140,550,9.17,231.00,8766.07,Long Thành,KÉO ĐẠI SỐ 2
129,52000138,Cm 2.52,1140,500,8.33,210.00,9321.83,Long Thành,KÉO ĐẠI SỐ 2
130,52000003,Cc 2.52,1140,450,7.50,189.00,8356.39,Long Thành,KÉO ĐẠI SỐ 2
131,52000139,Cm 2.60,1140,500,8.33,210.00,9923.09,Long Thành,KÉO ĐẠI SỐ 2
132,52000140,Cm 2.63,1140,500,8.33,195.00,9428.16,Long Thành,KÉO ĐẠI SỐ 2
133,52000148,Cm 2.93,780,450,7.50,189.00,11341.69,Long Thành,KÉO ĐẠI SỐ 2
134,52000150,Cm 3.00,780,450,7.50,189.00,11890.09,Long Thành,KÉO ĐẠI SỐ 2
135,52000161,Cm 3.25,600,350,5.83,147.00,10853.38,Long Thành,KÉO ĐẠI SỐ 2
136,52000061,Cc 1.70,1800,538.8,8.98,171.34,3461.25,Tân Á,DA 13
137,52000010,Cc 3.05,1020,810,13.50,257.58,16749.11,Tân Á,DA 13
138,52000121,Cm 1.70,1800,538.8,8.98,171.34,3461.25,Tân Á,DA 13
139,52000123,Cm 1.78,1710,840,14.00,267.12,5915.97,Tân Á,DA 13
140,52000125,Cm 1.85,1584,810,13.50,257.58,6162.20,Tân Á,DA 13
141,52000130,Cm 2.22,1506,753.6,12.56,239.64,8255.70,Tân Á,DA 13
142,52000132,Cm 2.25,1470,498,8.30,158.36,5604.04,Tân Á,DA 13
143,52000140,Cm 2.63,1128,676.8,11.28,215.22,10405.88,Tân Á,DA 13
144,52000144,Cm 2.80,1068,600,10.00,190.80,10456.21,Tân Á,DA 13
145,52000148,Cm 2.93,954,498,8.30,158.36,9503.24,Tân Á,DA 13
146,52000150,Cm 3.00,918,429,7.15,136.42,8582.36,Tân Á,DA 13
147,52000161,Cm 3.25,756,414,6.90,131.65,9720.17,Tân Á,DA 13
148,52000124,Cm 1.80,1710,840,14.00,267.12,6049.66,Tân Á,DA 13
149,52000129,Cm 2.14,1506,795.6,13.26,253.00,8098.96,Tân Á,DA 13
150,52000133,Cm 2.30,1470,900,15.00,286.20,10582.91,Tân Á,DA 13
151,52000138,Cm 2.52,1187,780,13.00,248.04,11010.39,Tân Á,DA 13
152,52000117,Cm 1.40,1752,662.4,11.04,210.64,2885.91,Tân Á,DA 13
153,52000003,Cc 2.52,1244,246,4.10,78.23,3472.51,Tân Á,DA 13
154,52000142,Cm 2.70,1084,456,7.60,145.01,7389.23,Tân Á,DA 13
155,52000070,Cc 2.14,1506,795.6,13.26,253.00,8098.96,Tân Á,DA 13
156,52000069,Cc 2.13,1578,795.6,13.26,253.00,8023.45,Tân Á,DA 13
157,52000196,Ac 1.73,1500,420,7.00,163.80,1039.58,Đà Nẵng,LHD-450/13
158,52000205,Ac 2.17,1260,780,13.00,304.20,3037.61,Đà Nẵng,LHD-450/13
159,52000208,Ac 2.28,1140,780,13.00,304.20,3353.38,Đà Nẵng,LHD-450/13
160,52000211,Ac 2.40,1140,780,13.00,304.20,3715.65,Đà Nẵng,LHD-450/13
161,52000216,Ac 2.56,1020,780,13.00,304.20,4227.59,Đà Nẵng,LHD-450/13
162,52000220,Ac 2.70,1020,780,13.00,304.20,4702.63,Đà Nẵng,LHD-450/13
163,52000221,Ac 2.80,1020,780,13.00,304.20,5057.42,Đà Nẵng,LHD-450/13
164,52000224,Ac 2.87,1020,780,13.00,304.20,5313.45,Đà Nẵng,LHD-450/13
165,52000225,Ac 2.88,1020,780,13.00,304.20,5350.54,Đà Nẵng,LHD-450/13
166,52000226,Ac 2.89,1020,780,13.00,304.20,5387.76,Đà Nẵng,LHD-450/13
167,52000228,Ac 2.93,900,780,13.00,304.20,5537.94,Đà Nẵng,LHD-450/13
168,52000229,Ac 2.98,900,780,13.00,304.20,5728.56,Đà Nẵng,LHD-450/13
169,52000230,Ac 2.99,900,780,13.00,304.20,5767.07,Đà Nẵng,LHD-450/13
170,52000625,Ac 3.07,900,780,13.00,304.20,6079.80,Đà Nẵng,LHD-450/13
171,52000233,Ac 3.15,900,780,13.00,304.20,6400.80,Đà Nẵng,LHD-450/13
172,52000234,Ac 3.20,900,780,13.00,304.20,6605.61,Đà Nẵng,LHD-450/13
173,52000237,Ac 3.28,600,600,10.00,234.00,5338.47,Đà Nẵng,LHD-450/13
174,52000242,Ac 3.40,600,600,10.00,234.00,5736.24,Đà Nẵng,LHD-450/13
175,52000737,Ac 3.43,600,600,10.00,234.00,5837.91,Đà Nẵng,LHD-450/13
176,52000248,Ac 3.60,600,600,10.00,234.00,6430.94,Đà Nẵng,LHD-450/13
177,52000249,Ac 3.63,600,540,9.00,210.60,5884.71,Đà Nẵng,LHD-450/13
178,52000258,Ac 3.80,420,420,7.00,163.80,5015.74,Đà Nẵng,LHD-450/13
179,52000629,Ac 3.98,420,420,7.00,163.80,5502.17,Đà Nẵng,LHD-450/13
180,52000260,Ac 4.00,420,420,7.00,163.80,5557.60,Đà Nẵng,LHD-450/13
181,52000449,Ac 4.39,360,360,6.00,140.40,5737.86,Đà Nẵng,LHD-450/13
182,52000265,Ac 4.50,360,360,6.00,140.40,6029.01,Đà Nẵng,LHD-450/13
183,52000196,Ac 1.73,1680,960,16.00,388.80,2558.98,Long Thành,LSD 450/13-2
184,52000197,Ac 1.78,1680,960,16.00,388.80,2690.81,Long Thành,LSD 450/13-2
185,52000201,Ac 2.03,1680,840,14.00,340.20,3067.84,Long Thành,LSD 450/13-2
186,52000204,Ac 2.14,1680,840,14.00,340.20,3407.00,Long Thành,LSD 450/13-2
187,52000205,Ac 2.17,1680,840,14.00,340.20,3500.23,Long Thành,LSD 450/13-2
188,52000206,Ac 2.20,1680,840,14.00,340.20,3588.16,Long Thành,LSD 450/13-2
189,52000207,Ac 2.25,1680,840,14.00,340.20,3777.37,Long Thành,LSD 450/13-2
190,52000209,Ac 2.30,1380,840,14.00,340.20,3954.22,Long Thành,LSD 450/13-2
191,52000211,Ac 2.40,1380,840,14.00,340.20,4312.88,Long Thành,LSD 450/13-2
192,52000215,Ac 2.52,1380,840,14.00,340.20,4713.36,Long Thành,LSD 450/13-2
193,52000216,Ac 2.56,1380,840,14.00,340.20,4826.70,Long Thành,LSD 450/13-2
194,52000218,Ac 2.60,1380,840,14.00,340.20,5030.23,Long Thành,LSD 450/13-2
195,52000221,Ac 2.80,1380,720,12.00,291.60,4563.74,Long Thành,LSD 450/13-2
196,52000224,Ac 2.87,1380,720,12.00,291.60,5252.62,Long Thành,LSD 450/13-2
197,52000228,Ac 2.93,1380,720,12.00,291.60,5467.67,Long Thành,LSD 450/13-2
198,52000230,Ac 2.99,1200,600,10.00,243.00,4745.56,Long Thành,LSD 450/13-2
199,52000233,Ac 3.15,1200,600,10.00,243.00,5299.08,Long Thành,LSD 450/13-2
200,52000234,Ac 3.20,1200,600,10.00,243.00,5455.03,Long Thành,LSD 450/13-2
201,52000244,Ac 3.50,1200,600,10.00,243.00,6535.01,Long Thành,LSD 450/13-2
202,52000248,Ac 3.60,1200,480,8.00,194.40,5522.06,Long Thành,LSD 450/13-2
203,52000258,Ac 3.80,960,480,8.00,194.40,6163.49,Long Thành,LSD 450/13-2
204,52000260,Ac 4.00,960,360,6.00,145.80,5119.85,Long Thành,LSD 450/13-2
205,52000262,Ac 4.10,960,360,6.00,145.80,5353.07,Long Thành,LSD 450/13-2
206,52000265,Ac 4.50,960,360,6.00,145.80,6475.49,Long Thành,LSD 450/13-2
207,52000196,Ac 1.73,1680,960,16.00,388.80,2558.98,Long Thành,LSD 450/13-1
208,52000197,Ac 1.78,1680,960,16.00,388.80,2690.81,Long Thành,LSD 450/13-1
209,52000201,Ac 2.03,1680,840,14.00,340.20,3067.84,Long Thành,LSD 450/13-1
210,52000204,Ac 2.14,1680,840,14.00,340.20,3407.00,Long Thành,LSD 450/13-1
211,52000205,Ac 2.17,1680,840,14.00,340.20,3500.23,Long Thành,LSD 450/13-1
212,52000206,Ac 2.20,1680,840,14.00,340.20,3588.16,Long Thành,LSD 450/13-1
213,52000207,Ac 2.25,1680,840,14.00,340.20,3777.37,Long Thành,LSD 450/13-1
214,52000209,Ac 2.30,1380,840,14.00,340.20,3954.22,Long Thành,LSD 450/13-1
215,52000211,Ac 2.40,1380,840,14.00,340.20,4312.88,Long Thành,LSD 450/13-1
216,52000215,Ac 2.52,1380,840,14.00,340.20,4713.36,Long Thành,LSD 450/13-1
217,52000216,Ac 2.56,1380,840,14.00,340.20,4826.70,Long Thành,LSD 450/13-1
218,52000218,Ac 2.60,1380,840,14.00,340.20,5030.23,Long Thành,LSD 450/13-1
219,52000221,Ac 2.80,1380,720,12.00,291.60,4563.74,Long Thành,LSD 450/13-1
220,52000224,Ac 2.87,1380,720,12.00,291.60,5252.62,Long Thành,LSD 450/13-1
221,52000228,Ac 2.93,1380,720,12.00,291.60,5467.67,Long Thành,LSD 450/13-1
222,52000230,Ac 2.99,1200,600,10.00,243.00,4745.56,Long Thành,LSD 450/13-1
223,52000233,Ac 3.15,1200,600,10.00,243.00,5299.08,Long Thành,LSD 450/13-1
224,52000234,Ac 3.20,1200,600,10.00,243.00,5455.03,Long Thành,LSD 450/13-1
225,52000244,Ac 3.50,1200,600,10.00,243.00,6535.01,Long Thành,LSD 450/13-1
226,52000248,Ac 3.60,1200,480,8.00,194.40,5522.06,Long Thành,LSD 450/13-1
227,52000258,Ac 3.80,960,480,8.00,194.40,6163.49,Long Thành,LSD 450/13-1
228,52000260,Ac 4.00,960,360,6.00,145.80,5119.85,Long Thành,LSD 450/13-1
229,52000262,Ac 4.10,960,360,6.00,145.80,5353.07,Long Thành,LSD 450/13-1
230,52000265,Ac 4.50,960,360,6.00,145.80,6475.49,Long Thành,LSD 450/13-1
231,52000189,Ac 1.25,1863,960,16.00,276.48,916.09,Tân Á,LSD
232,52000191,Ac 1.35,1950,960,16.00,276.48,1068.53,Tân Á,LSD
233,52000194,Ac 1.60,2008,1380,23.00,397.44,2157.57,Tân Á,LSD
234,52000196,Ac 1.73,2077,1440,24.00,414.72,2632.09,Tân Á,LSD
235,52000197,Ac 1.78,1884,1320,22.00,380.16,2554.23,Tân Á,LSD
236,52000715,Ac 1.80,1866,1320,22.00,380.16,2611.95,Tân Á,LSD
237,52000198,Ac 1.81,1830,1260,21.00,362.88,2521.01,Tân Á,LSD
238,52000200,Ac 2.00,1900,1320,22.00,380.16,3224.63,Tân Á,LSD
239,52000201,Ac 2.03,1860,1320,22.00,380.16,3322.10,Tân Á,LSD
240,52000204,Ac 2.14,1847,1320,22.00,380.16,3691.88,Tân Á,LSD
241,52000205,Ac 2.17,1985,1380,23.00,397.44,3968.67,Tân Á,LSD
242,52000207,Ac 2.25,1698,1200,20.00,345.60,3710.16,Tân Á,LSD
243,52000208,Ac 2.28,1680,1200,20.00,345.60,3809.76,Tân Á,LSD
244,52000211,Ac 2.40,1639,1140,19.00,328.32,4010.27,Tân Á,LSD
245,52000213,Ac 2.50,1571,1080,18.00,311.04,4122.40,Tân Á,LSD
246,52000215,Ac 2.52,1569,1080,18.00,311.04,4188.62,Tân Á,LSD
247,52000216,Ac 2.56,1543,1080,18.00,311.04,4322.65,Tân Á,LSD
248,52000218,Ac 2.60,1924,1320,22.00,380.16,5449.63,Tân Á,LSD
249,52000221,Ac 2.80,1418,1020,17.00,293.76,4883.85,Tân Á,LSD
250,52000223,Ac 2.85,1254,900,15.00,259.20,4464.56,Tân Á,LSD
251,52000224,Ac 2.87,1349,960,16.00,276.48,4829.27,Tân Á,LSD
252,52000225,Ac 2.88,1340,960,16.00,276.48,4862.98,Tân Á,LSD
253,52000226,Ac 2.89,1331,960,16.00,276.48,4896.81,Tân Á,LSD
254,52000228,Ac 2.93,1295,900,15.00,259.20,4718.72,Tân Á,LSD
255,52000229,Ac 2.98,1252,900,15.00,259.20,4881.14,Tân Á,LSD
256,52000230,Ac 2.99,1244,900,15.00,259.20,4913.95,Tân Á,LSD
257,52000231,Ac 3.00,1435,1020,17.00,293.76,5606.46,Tân Á,LSD
258,52000232,Ac 3.05,1406,960,16.00,276.48,5454.02,Tân Á,LSD
259,52000625,Ac 3.07,1468,1020,17.00,293.76,5871.15,Tân Á,LSD
260,52000233,Ac 3.15,1020,720,12.00,207.36,4363.15,Tân Á,LSD
261,52000234,Ac 3.20,1207,840,14.00,241.92,5253.22,Tân Á,LSD
262,52000237,Ac 3.28,1217,840,14.00,241.92,5519.16,Tân Á,LSD
263,52000242,Ac 3.40,1057,720,12.00,207.36,5083.19,Tân Á,LSD
264,52000737,Ac 3.43,1170,840,14.00,241.92,6035.51,Tân Á,LSD
265,52000246,Ac 3.55,965,660,11.00,190.08,5079.80,Tân Á,LSD
266,52000248,Ac 3.60,949,660,11.00,190.08,5223.90,Tân Á,LSD
267,52000249,Ac 3.63,769,540,9.00,155.52,4345.63,Tân Á,LSD
268,52000256,Ac 3.73,937,660,11.00,190.08,5608.00,Tân Á,LSD
269,52000258,Ac 3.80,852,600,10.00,172.80,5291.33,Tân Á,LSD
270,52000432,Ac 3.85,687,480,8.00,138.24,4345.19,Tân Á,LSD
271,52000260,Ac 4.00,769,540,9.00,155.52,5276.67,Tân Á,LSD
272,52000261,Ac 4.09,769,540,9.00,155.52,5516.79,Tân Á,LSD
273,52000263,Ac 4.15,720,480,8.00,138.24,5048.75,Tân Á,LSD
274,52000265,Ac 4.50,635,420,7.00,120.96,5194.22,Tân Á,LSD
275,52000266,Ac 4.57,540,360,6.00,103.68,4591.78,Tân Á,LSD
276,52000732,Ac BRUSSELS 421,509,300,5.00,86.40,0.00,Tân Á,LSD
277,52000728,Ac COPENHAGEN 220,795,300,5.00,86.40,0.00,Tân Á,LSD
278,52000731,Ac COPENHAGEN 220,637,300,5.00,86.40,0.00,Tân Á,LSD
279,52000734,Ac DUBLIN 525,473,300,5.00,86.40,0.00,Tân Á,LSD
280,52000730,Ac GLASGOW 237,766,300,5.00,86.40,0.00,Tân Á,LSD
281,52000744,Ac LISBON 316,532,300,5.00,86.40,0.00,Tân Á,LSD
282,52000733,Ac OSLO 314,657,300,5.00,86.40,0.00,Tân Á,LSD
283,52000747,Ac REYKJAVIK 223,780,300,5.00,86.40,0.00,Tân Á,LSD
284,52000729,Ac WARSAW 508,767,300,5.00,86.40,0.00,Tân Á,LSD
285,52000756,Dây nhôm hợp kim AL3 - 2.68 mm,1140,180,3.00,51.84,0.00,Tân Á,LSD
286,52000754,Dây nhôm hợp kim AL3 - 3.67 mm,840,240,4.00,69.12,0.00,Tân Á,LSD
287,52000726,Dây nhôm hợp kim AL4 - 2.10 mm,1500,240,4.00,69.12,0.00,Tân Á,LSD
288,52000755,Dây nhôm hợp kim AL4 - 3.15 mm,840,240,4.00,69.12,0.00,Tân Á,LSD
289,22000670,DÂY NHÔM HỢP KIM AL4 - 3.60 MM,840,240,4.00,69.12,0.00,Tân Á,LSD
290,52000153,Cm 0.20,2100,960,16.00,374.4,1673.04,Đà Nẵng,16 đường
291,52000154,Cm 0.25,2100,960,16.00,374.4,2614.13,Đà Nẵng,16 đường
292,52000155,Cm 0.30,1920,960,16.00,374.4,3293.81,Đà Nẵng,16 đường
293,52000098,Cm 0.425,1080,600,10.00,234.0,4131.55,Đà Nẵng,16 đường
294,52000104,Cm 0.52,660,600,10.00,234.0,6185.04,Đà Nẵng,16 đường
295,52000156,Cm 0.40,1320,600,10.00,234.00,3659.78,Đà Nẵng,16 đường
296,52000157,Cm 0.50,660,600,10.00,234.00,5718.41,Đà Nẵng,16 đường
297,52000153,Cm 0.20,2100,1080,18.00,448.00,933.59,Long Thành,8 đường số 1
298,52000154,Cm 0.25,2100,1200,20.00,486.00,1154.58,Long Thành,8 đường số 1
299,52000154,Cm 0.25,2100,1200,20.00,474.00,1501.42,Long Thành,8 đường số 1
300,52000155,Cm 0.30,2100,900,15.00,364.50,1285.66,Long Thành,8 đường số 1
301,52000155,Cm 0.30,2100,900,15.00,355.50,1671.89,Long Thành,8 đường số 1
302,52000156,Cm 0.40,1860,840,14.00,323.40,1772.48,Long Thành,8 đường số 1
